parameter,ST_GP,ST_GP_conf,ST_FNO,ST_FNO_conf
T_in_C,0.844825632519151,0.06274142054262404,0.8439339051270465,0.06855610128491466
k_dry,0.09857369632033242,0.010134067699852811,0.09788765245228541,0.00926634256187416
L,0.0520573077785842,0.0055462658375326135,0.052800537430439075,0.00517432383987441
G_s_peak,0.01377719474999538,0.0015011616873401201,0.013528276901045737,0.0014316410604909853
alpha_moist,0.002121883503532247,0.00040720139582429163,0.0017829895310700287,0.00020459894927845452
w_sat,0.0017634180462946666,0.0002959120537430766,0.0015081122078307938,0.0002809071951028852
a_ret,0.0008116729336143556,0.0001354950770864593,0.0009703156372216004,0.00025091763525347626
phi_0,0.00020611778370237553,3.108648095254809e-05,0.00023501390948458086,4.0804700994322435e-05
delta_p_dry,8.932746709199695e-05,1.7279412513910324e-05,0.00014449136380045532,3.386237392374263e-05
cp,4.780940178801443e-05,6.351429771409727e-06,5.995343097518143e-05,7.504305837371313e-06
rho,4.273024043377142e-05,4.803166511549432e-06,5.0324333542613953e-05,7.826323757968146e-06
n_K,1.3669830892500744e-07,2.420251598529863e-08,2.457134769348273e-06,3.9463473264849085e-07
K_ref,1.3226949692303012e-07,3.002476658149533e-08,8.159684792450712e-07,1.4260510509304803e-07
