hygric_set,material,J_mean_C,J_peak_C,phi_max,mass_change_kg_m2
nominal,Lime-stabilised bamboo panel,33.691589996221296,34.55553218551671,0.7508225422488612,0.29263574641597234
nominal,Clay-straw adobe,34.0564364554196,35.39518007466586,0.7762363232669266,0.19009646545463976
nominal,Mud brick (unfired),34.42850989211519,36.19117624705024,0.7853355534123599,0.13687129203502701
nominal,Lime-mud composite,34.63137547789427,36.77542673215686,0.8004781347492455,0.10599669655416433
nominal,Fired clay brick,34.846214774316536,37.083431289116504,0.8019505810642306,0.03881212055835048
uniform,Lime-stabilised bamboo panel,33.542632665840415,34.31020466548756,0.7707185835809874,0.28721135548170995
uniform,Clay-straw adobe,34.02051773600198,35.330172773604716,0.7804035274243744,0.19053903220108115
uniform,Mud brick (unfired),34.440538599239915,36.21384593494167,0.7848462883058428,0.13621312529052876
uniform,Lime-mud composite,34.71845412614033,36.93469890064233,0.7894025897066818,0.10240039110671884
uniform,Fired clay brick,34.88447218901587,37.156573784273576,0.7985387479338022,0.034377262568257905
