parameter,S1,S1_conf,ST,ST_conf
T_in_C,0.8349675357479002,0.07461604888569726,0.8439339051270465,0.06855610128491466
k_dry,0.08940943301770365,0.027119053561025005,0.09788765245228541,0.00926634256187416
L,0.047517153070745013,0.01828082777092313,0.052800537430439075,0.00517432383987441
G_s_peak,0.011467457524173347,0.009619381717761251,0.013528276901045737,0.0014316410604909853
alpha_moist,0.001879791563812661,0.003918298637861143,0.0017829895310700287,0.00020459894927845452
w_sat,0.0005328545994191597,0.00251774018473348,0.0015081122078307938,0.0002809071951028852
a_ret,0.0007060914318376343,0.002919883935120243,0.0009703156372216004,0.00025091763525347626
phi_0,-0.000261037145515059,0.001327086499519056,0.00023501390948458086,4.0804700994322435e-05
delta_p_dry,6.291138005214089e-05,0.001035561546662894,0.00014449136380045532,3.386237392374263e-05
cp,-0.00020059876005590834,0.0007462512528887252,5.995343097518143e-05,7.504305837371313e-06
rho,4.9126420000148264e-05,0.0006323807553590419,5.0324333542613953e-05,7.826323757968146e-06
n_K,-3.607010614382419e-05,0.00014406659180553856,2.457134769348273e-06,3.9463473264849085e-07
K_ref,2.8430465411407646e-05,7.074136003321149e-05,8.159684792450712e-07,1.4260510509304803e-07
